id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33489755,Wyndham Canterbury at San Francisco 1 bedroom 8A,100238132,Michael,,Downtown/Civic Center,37.78931,-122.41363,Entire home/apt,229,3,0,,,21,33
33489844,Wyndham Canterbury at San Francisco 1 bedroom 9A,100238132,Michael,,Downtown/Civic Center,37.78792,-122.41186,Entire home/apt,229,3,1,2019-04-12,0.10,21,33
33489920,Wyndham Canterbury at San Francisco 1 bedroom 10A,100238132,Michael,,Downtown/Civic Center,37.78949,-122.41327,Entire home/apt,229,3,6,2019-11-22,0.63,21,33
33493552,Spacious Flat With Garden Near Alamo Square,48537207,Knute,,Western Addition,37.77676,-122.44059,Entire home/apt,248,2,5,2019-06-08,0.49,1,0
33495561,Ocean Beach Getaway - Entire spacious suite,13630570,Matthew And Haihai,,Outer Richmond,37.77447,-122.50667,Entire home/apt,199,1,35,2020-02-07,5.59,1,43
33516235,Beach & Golden Gate Park,9990056,Edurne,,Outer Sunset,37.75925,-122.50817,Entire home/apt,139,1,57,2020-01-23,5.63,1,258
33517793,3-bedroom Luxury Condo,218110608,Na,,Russian Hill,37.80498,-122.42373,Entire home/apt,1300,1,14,2020-01-16,1.48,4,83
33521977,A spacious private rm w/2 beds nr presido & GGpark,4401512,Sumi,,Inner Richmond,37.78493,-122.46081,Private room,300,3,23,2020-02-09,2.60,1,135
33526719,Sutro Heights Beauty - suite near Ocean Beach,1936903,Cynthia,,Outer Richmond,37.7768,-122.50638,Private room,119,1,12,2020-02-02,3.33,1,137
33528893,Exceptional Home close to everything,4349750,Ramona And Arran,,Bernal Heights,37.73862,-122.41559,Entire home/apt,350,3,14,2020-01-03,1.58,2,16
33530603,"Comfortable, Spacious Bedroom/Workspace by Moscone",18021019,Colin,,South of Market,37.78367,-122.39813,Private room,120,1,46,2020-01-26,6.24,1,92
33531752,Beautiful Loft in SF Civic Center,209953666,Sid,,Downtown/Civic Center,37.78034,-122.41355,Entire home/apt,150,30,3,2020-02-04,0.34,5,332
33532937,"Large, bright room in a beautiful house -1",42907890,Nisha,,Western Addition,37.78269,-122.44056,Private room,70,30,1,2019-12-30,0.67,6,0
33533171,Modern Luxury Mission District Stunner,3692042,Alan,,Mission,37.76889,-122.42319,Entire home/apt,999,30,1,2019-09-20,0.21,1,333
33534825,Nob Hill Modern Lux Hotel-Standard  Room- King,245417224,Stanford Court,,Nob Hill,37.79135,-122.41059,Hotel room,239,1,71,2019-12-28,7.45,2,277
33537662,Nob Hill Modern Lux Hotel- Presidential Suite-King,245417224,Stanford Court,,Nob Hill,37.79111,-122.41067,Hotel room,1229,30,0,,,2,311
33551130,1BR Mission Bay Condo near Caltrain,48005494,Zeus,,South of Market,37.77687,-122.39774,Entire home/apt,267,30,0,,,281,0
33551880,Quiet In-Law space w/hot tub - great location,156818277,Jesse,,Marina,37.79874,-122.42983,Entire home/apt,225,3,4,2019-12-02,0.40,1,0
33557580,Lovely San Francisco home in serene neighborhood.,21824512,Michael,,Noe Valley,37.74715,-122.43349,Entire home/apt,195,4,0,,,1,71
33561856,* San Francisco - North Beach District  *WOW*,22913583,Trevor,,Russian Hill,37.79875,-122.40867,Entire home/apt,220,30,2,2019-11-23,0.25,2,237
33587710,Charming Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79903,-122.41726,Entire home/apt,271,30,0,,,281,309
33587968,Beautiful Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79817,-122.41767,Entire home/apt,272,30,2,2019-09-28,0.32,281,317
33608260,Bull’s Eye SF: Market+Valencia| blocs2everywhere,221525713,StellaMaris,,South of Market,37.77199,-122.42249,Private room,99,2,28,2020-01-16,2.79,4,163
33608274,CentralizedSF: Market+Valencia | Zen Room,221525713,StellaMaris,,South of Market,37.77212,-122.42252,Private room,125,2,31,2020-01-26,3.10,4,150
33633991,"Chic Nob Hill 1BR w/ W/D, city view, walk to FiDi, Muni by Blueground",107434423,Blueground,,Chinatown,37.79204,-122.40655,Entire home/apt,216,30,0,,,237,193
33634099,"Dandy Nob Hill 2BR w/ W/D, lounge, walk to restaurants by Blueground",107434423,Blueground,,Nob Hill,37.79079,-122.41397,Entire home/apt,230,30,0,,,237,246
